,elo1_pre,elo2_pre,elo_prob1,rating1_pre,rating2_pre,pitcher1_rgs,pitcher2_rgs,rating_prob1,score1,score2
318,1551.19092161685,1551.6278053555402,0.5338581551259631,1533.29553052393,1561.6544638402,50.8614043998768,50.883331458028294,0.498497318534603,6.0,0.0
319,1497.92834966387,1491.63067751875,0.5434916670553736,1470.8910898147599,1495.19240791163,49.0106616231919,58.6004766566001,0.427745771123806,4.0,2.0
320,1505.21770921919,1548.36944585018,0.4724663173841127,1490.46991317043,1558.2693178699499,57.105850767150294,51.793922080612795,0.480358619784538,12.0,7.0
321,1539.0761377280999,1442.0269880113,0.6674812208435281,1541.73392956875,1441.4196684357098,54.213263405365495,54.019491260628996,0.601176344982605,5.0,2.0
322,1525.2296382708498,1557.8498509465398,0.4875970616591776,1521.76844595239,1554.6010108435698,58.8265911250983,57.1028461627489,0.48989893342244295,6.0,1.0
323,1478.5991552943499,1460.03777697481,0.5609461862605002,1451.21184188664,1459.99422229121,53.82943804746329,49.5463757650445,0.5505693793862729,8.0,4.0
324,1517.7299895702802,1533.9029917494502,0.511262050191311,1521.99156195766,1520.94140176744,54.459955147345,48.828255696373795,0.5626184723697181,5.0,1.0
325,1530.55892030438,1437.4709211481,0.6624010875416543,1545.19937108306,1446.05045149686,53.98345158873771,47.5373977117689,0.6589345385752851,6.0,2.0
326,1517.57754711349,1503.6698507952499,0.5543381109971518,1524.41159544419,1504.87103976936,49.1953626822953,56.5056647559807,0.4911666949916021,8.0,9.0
327,1543.46575251945,1465.9708397296,0.6420451306535941,1540.7462059461,1464.45256850531,50.5381677101692,48.7464742580558,0.6306677131903721,4.0,5.0
328,1587.68783610477,1476.5718443682501,0.6852036498833427,1599.03690758861,1482.29104679808,49.8676702447087,48.28496825350229,0.6733618629878471,6.0,7.0
329,1520.4734699193802,1531.15951140035,0.5191509532110394,1523.95167075261,1518.9812929724899,46.784724437002296,51.2454860278068,0.499347200582818,3.0,7.0
330,1477.3791875982001,1461.2577446709602,0.5574841010464382,1450.2660258801502,1460.9400382976999,49.2231128974179,45.2340095438091,0.546065822293078,4.0,3.0
331,1553.49745995011,1507.0272252225197,0.6000466003391707,1534.81813203301,1522.06621792736,49.6766099225342,49.659778167922894,0.541684861123514,3.0,5.0
332,1476.0270991136802,1554.76378389616,0.4218728928796385,1491.2482920651998,1563.99695206815,48.0796269287048,50.05306298264179,0.42374346355765796,9.0,5.0
333,1496.23231539019,1493.3267117924302,0.538643058988801,1469.5035202149697,1496.5799775114301,50.117539852613604,47.5370604668793,0.5059908208292591,4.0,2.0
334,1533.0666783304998,1434.96316312199,0.6688269558075162,1547.05486623359,1444.19495634633,52.8841276892727,46.6044091056587,0.662581480844291,8.0,10.0
